name,price,reviews,ratings,processor,memory,display,gpu,bettery
Lenovo Ideapad Gaming 3 (82EY00L9IN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹63,490</span>",4.3/5,510 Ratings,"AMD Hexa Core Ryzen 5 4600H, 3.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,"NVIDIA Geforce GTX 1650 GPU, 4 GB VRAM",45W Adapter
Infinix Zero Book 13 ZL513 Laptop (15.6 Inch | Core i9 13th Gen | 32 GB | Windows 11 | 1 TB SSD),"<span class=""price txt-w-b"">₹74,990</span>",4.0/5,676 Ratings,"Intel Core i9-13900H (13th Gen), 4.8 Ghz Processor",32 GB RAM | 1 TB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,"96W, Upto 10 Hrs Battery Life"
HP 14s-dr2016tu (360L9PA) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹49,699</span>",4.1/5,613 Ratings,"Intel Core i5-1135G7 (11th Gen), 4.2 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) LED Display,Intel Iris X GPU,65W Adapter
ASUS VivoBook 14 X409UA-EK362TS Laptop (14 Inch | Core i3 7th Gen | 4 GB | Windows 10 | 256 GB SSD),"<span class=""price txt-w-b"">₹30,345</span>",3.8/5,835 Ratings,"Intel Core i3-7020U (7th Gen), 2.3 Ghz Processor",4 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) LED Display,Intel UHD 620 GPU,32W Adapter
HP 15s-fq5202TU (8G148PA) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹47,990</span>",4.0/5,677 Ratings,"Intel Core i5-1235U (12th Gen), 4.2 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,65W Adapter
ASUS VivoBook 15 M515DA-BQ332WS Laptop (15.6 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹39,389</span>",4.3/5,531 Ratings,"AMD Dual Core Ryzen 3 - 3250U, 2.6 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,"65W, Upto 6 Hrs Battery Life"
Dell Vostro 3420 (D552276WIN9BE) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹35,990</span>",3.8/5,797 Ratings,"Intel Core i3-1115G4 (11th Gen), 1.7 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel Integrated GPU,65W Adapter
Lenovo V15 (82C3A00BIH) Laptop (15.6 Inch | Intel Celeron Dual Core | 4 GB | DOS | 256 GB SSD),"<span class=""price txt-w-b"">₹23,996</span>",3.7/5,932 Ratings,Intel Celeron Dual Core- N4020 Processor,4 GB RAM | 256 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Integrated GPU,"65W, Upto 5 Hrs Battery Life"
Honor MagicBook X14 ( NDR-WDH) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹41,990</span>",4.2/5,581 Ratings,"Intel Core i5-1135G7 (11th Gen), 2.4 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel Integrated GPU,"65W, Upto 9.9 Hrs Battery Life"
Lenovo Ideapad Gaming 3i (82K1019BIN) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹60,500</span>",4.3/5,513 Ratings,"Intel Core i5-11300H (11th Gen), 3.1 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce RTX 3050 GPU, 4 GB VRAM","65W, Upto 8 Hrs Battery Life"
Acer Swift 3 Intel Evo SF314-512 (NX.K0FSI.002) Laptop (14 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹61,999</span>",4.3/5,513 Ratings,"Intel Core i5-1240P (12th Gen), 1.7 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel Iris Xe GPU,65W Adapter
Apple MacBook Pro M2 MNEH3HN/A Ultrabook (13.3 Inch | Apple M2 | 8 GB | macOS Monterey | 256 GB SSD),"<span class=""price txt-w-b"">₹129,900</span>",4.7/5,407 Ratings,Apple M2 Processor,8 GB RAM | 256 GB SSD Storage,13.3″ (33.78 cm) Display,Apple M2 GPU,"67W, Upto 20 Hrs Battery Life"
HP 15s-fq3066TU (7W475PA) Laptop (15.6 Inch | Intel Celeron Dual Core | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹27,990</span>",3.7/5,988 Ratings,"Intel Celeron Dual Core - N4500, 2.8 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel UHD GPU,"65W, Upto 7.30 Hrs Battery Life"
HP 14s- dq3032tu (637S3PA) Laptop (14 Inch | Celeron Dual Core | 8 GB | Windows 11 | 256 GB SSD),"<span class=""price txt-w-b"">₹26,990</span>",3.8/5,854 Ratings,"Intel Celeron N4500, 2.8 Ghz Processor",8 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) Display,Intel UHD GPU,"41W, Upto 12 Hrs Battery Life"
Lenovo Ideapad Slim 3 (82H701DKIN) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹40,990</span>",4.2/5,544 Ratings,"Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel UHD GPU,"45W, Upto 10 Hrs Battery Life"
HP Victus 16-e0350ax Laptop (16.1 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹72,990</span>",4.4/5,488 Ratings,"AMD Hexa Core Ryzen 5-5600H, 4.2 Ghz Processor",8 GB RAM | 512 GB SSD Storage,16.1″ (40.89 cm) Display,"NVIDIA GeForce RTX 3050 Ti GPU, 4 GB VRAM",70W Adapter
Apple MacBook Pro M2 MNEJ3HN/A Ultrabook (13.3 Inch | Apple M2 | 8 GB | macOS Monterey | 512 GB SSD),"<span class=""price txt-w-b"">₹149,900</span>",4.6/5,401 Ratings,Apple M2 Processor,8 GB RAM | 512 GB SSD Storage,13.3″ (33.78 cm) Display,Apple M2 GPU,"67W, Upto 20 Hrs Battery Life"
Dell Inspiron 15 3501 (D560412WIN9S) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD),"<span class=""price txt-w-b"">₹54,097</span>",4.3/5,521 Ratings,"Intel Core i5-1135G7 (11th Gen), 2.4 Ghz Processor",8 GB RAM | 256 GB SSD Storage,15.6″ (39.62 cm) LED Display,Intel Iris Xe GPU,Windows 10 Home Basic
ASUS VivoBook 15 X1504ZA-NJ325WS Laptop (15.6 Inch | Core i3 12th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹35,990</span>",4.2/5,549 Ratings,"Intel Core i3-1215U (12th Gen), 1.2 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel UHD GPU,"45W, Upto 6 Hrs Battery Life"
Lenovo Ideapad 3 15ITL6 (82H800U5IN) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹36,999</span>",4.3/5,523 Ratings,"Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,Intel UHD GPU,"65W, Upto 7.5 Hrs Battery Life"
Zebronics Pro Series Y ZEB-NBC 2S Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹30,990</span>",3.8/5,783 Ratings,"Intel Core i5-1155G7 (11th Gen), 2.4 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,"65W, Upto 10 Hrs Battery Life"
Tecno MEGABOOK T1 Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹37,999</span>",4.0/5,644 Ratings,"Intel Core i3-1115G4 (11th Gen), 1.7 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,"65W, Upto 17.5 Hrs Battery Life"
Acer Swift Go OLED SFG14-71 (NX.KF1SI.002) Laptop (14 Inch | Core i5 13th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹63,500</span>",4.3/5,490 Ratings,Intel Core i5-13500H (13th Gen) Processor,16 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) OLED Display,Intel Iris Xe GPU,100W Adapter
Zebronics Pro Series Y ZEB-NBC 2S Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹28,990</span>",3.9/5,742 Ratings,"Intel Core i5-1155G7 (11th Gen), 2.4 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,"65W, Upto 10 Hrs Battery Life"
Lenovo V15 (82KDA01BIH) Laptop (15.6 Inch | AMD Quad Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹27,490</span>",4.0/5,648 Ratings,"AMD Quad Core Ryzen 3-5300U, 2.6 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,65W Adapter
Honor MagicBook 14 (NobelM-WDQ9BHNE) Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹41,990</span>",4.2/5,527 Ratings,"AMD Hexa Core Ryzen 5 - 5500U, 2.1 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,AMD Radeon GPU,"65W, Upto 14 Hrs Battery Life"
Lenovo Ideapad 15ALC05 (82LN00A3IN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹61,990</span>",4.3/5,505 Ratings,"AMD Octa Core Ryzen 7 5700U, 1.8 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,AMD Radeon GPU,"65W, Upto 14 Hrs Battery Life"
Lenovo Ideapad Gaming 3 (82K10168IN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹66,990</span>",4.3/5,468 Ratings,"Intel Core i5-11300H (11th Gen), 3.1 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce RTX 3050 GPU, 4 GB VRAM","170W, Upto 8 Hrs Battery Life"
HP Victus 15-fa1132TX (8U6Z8PA) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹56,990</span>",4.4/5,466 Ratings,"Intel Core i5-12450H (12th Gen), 4.2 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce RTX 2050 GPU, 4 GB VRAM",Windows 11 Home Basic
Lenovo Ideapad Flex 5i (82HS009GIN) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹57,300</span>",4.3/5,470 Ratings,"Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) LED Display With Touchscreen,Intel UHD GPU,52.5W Adapter
Acer Predator Helios Neo 16 PHN16-71 (NH.QLTSI.001) Laptop (16 Inch | Core i5 13th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹94,990</span>",4.5/5,424 Ratings,Intel Core i5-13500HX (13th Gen) Processor,16 GB RAM | 512 GB SSD Storage,16″ (40.64 cm) Display,"NVIDIA GeForce RTX 4050 GPU, 6 GB VRAM",230W Adapter
HP 15-fc0029AU (7L033PA) Laptop (15.6 Inch | AMD Quad Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹47,990</span>",4.1/5,584 Ratings,"AMD Quad Core Ryzen 5-7520U, 2.8 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,65W Adapter
Lenovo Ideapad 3 (81WB018YIN) Laptop (15.6 Inch | Core i3 10th Gen | 8 GB | Windows 11 | 1 TB HDD),"<span class=""price txt-w-b"">₹36,990</span>",3.6/5,"1,056 Ratings","Intel Core i3-10110U (10th Gen), 2.1 Ghz Processor",8 GB RAM | 1 TB HDD Storage,15.6″ (39.62 cm) Display,Intel UHD GPU,"45W, Upto 9 Hrs Battery Life"
HP 15-fc0031AU (7L035PA) Laptop (15.6 Inch | AMD Quad Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹49,990</span>",4.1/5,584 Ratings,"AMD Quad Core Ryzen 5 - 7520U, 4.2 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,65W Adapter
Lenovo ThinkBook 15 G4 (21DJA0Y0IN) Laptop (15.6 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹69,990</span>",4.1/5,550 Ratings,"Intel Core i7-1255U (12th Gen), 4.7 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,"65W, Upto 6 Hrs Battery Life"
HP Victus 15-fb0106AX (7K4W8PA) Laptop (15.3 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹61,990</span>",4.3/5,460 Ratings,"AMD Hexa Core Ryzen 5 - 5600H, 3.3 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.3″ (38.86 cm) Display With Touchscreen,"NVIDIA GeForce RTX 3050 GPU, 4 GB VRAM",Windows 11 Home Basic
Acer Nitro 5 AN515-45 (NH.QBMSI.007) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹62,990</span>",4.4/5,427 Ratings,"AMD Hexa Core Ryzen 5 - 5600H, 3.3 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM",135W Adapter
HP Victus 16-E0301Ax Laptop (16.1 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹69,886</span>",4.3/5,458 Ratings,"AMD Hexa Core Ryzen 5 - 5600H, 4.2 Ghz Processor",8 GB RAM | 512 GB SSD Storage,16.1″ (40.89 cm) Display,"NVIDIA GeForce GTX 1650 GPU, 4 GB VRAM",65W Adapter
HP Victus 15-fa0666TX Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹69,990</span>",4.2/5,515 Ratings,"Intel Core i5-12450H (12th Gen), 4.2 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce RTX 3050 GPU, 4 GB VRAM",Windows 11 Home Basic
Lenovo Ideapad Gaming 3 (82K2028AIN) Laptop (15.6 Inch | AMD Quad Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹48,290</span>",4.1/5,537 Ratings,"AMD Quad Core Ryzen 5 - 5500H, 3.4 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce RTX 2050 GPU, 4 GB VRAM",Upto 6.5 Hrs Battery Life
HP Victus 15-fb0134AX (87B80PA) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹56,990</span>",4.3/5,462 Ratings,"AMD Hexa Core Ryzen 5 - 5600H, 3.3 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"AMD Radeon RX 6500M GPU, 4 GB VRAM",Windows 11 Home Basic
Dell Inspiron 15 3511 (D560659WIN9S) Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹51,899</span>",4.1/5,555 Ratings,"Intel Core i5-1135G7 (11th Gen), 2.4 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Integrated GPU,"65W, Upto 6 Hrs Battery Life"
Lenovo Ideapad 1 (82R10049IN) Laptop (15.6 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹33,390</span>",4.0/5,613 Ratings,"AMD Dual Core Ryzen 3 - 3250U, 2.6 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,"65W, Upto 9 Hrs Battery Life"
Acer Nitro 5 AN515-58 (NH.QLZSI.001) Laptop (15.6 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹94,990</span>",4.5/5,405 Ratings,"Intel Core i7-12650H (12th Gen), 3.1 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce RTX 4050 GPU, 6 GB VRAM",Windows 11 Home Basic
Lenovo V15 G4 (82YUA017IN) Laptop (15.6 Inch | AMD Dual Core Athlon | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹33,000</span>",4.1/5,532 Ratings,"AMD Athlon Dual Core - 7120U, 3.4 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,Upto 8 Hrs Battery Life
ASUS VivoBook 14 X415EA-EK326WS Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹36,496</span>",4.2/5,491 Ratings,"Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel UHD GPU,"45W, Upto 6 Hrs Battery Life"
HP Victus 15-fa0188TX (8F4Z7PA) Laptop (15.6 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹79,990</span>",4.2/5,502 Ratings,"Intel Core i7-12650H (12th Gen), 4.7 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,"NVIDIA GeForce RTX 3050 GPU, 4 GB VRAM",Windows 11 Home Basic
HP Pavilion 14-dv2015TU (6K9J2PA) Laptop (14 Inch | Core i7 12th Gen | 16 GB | Windows 11 | 1 TB SSD),"<span class=""price txt-w-b"">₹76,990</span>",4.2/5,483 Ratings,"Intel Core i7-1255U (12th Gen), 4.7 Ghz Processor",16 GB RAM | 1 TB SSD Storage,14″ (35.56 cm) Display,Intel Iris Xe GPU,65W Adapter
ASUS VivoBook 15 X512DA-BQ313WS Laptop (15.6 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹41,990</span>",4.1/5,552 Ratings,"AMD Dual Core Ryzen 3-3200U, 2.6 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon Vega 3 GPU,65W Adapter
ASUS Notebook 12 BR1100CKA-GJ0722W Laptop (11.6 Inch | Intel Celeron Dual Core | 4 GB | Windows 11 | 128 GB SSD),"<span class=""price txt-w-b"">₹24,999</span>",4.0/5,565 Ratings,"Intel Celeron Dual Core-N4500, 2.8 Ghz Processor",4 GB RAM | 128 GB SSD Storage,11.6″ (29.46 cm) Display,Intel UHD GPU,45W Adapter
Lenovo Ideapad Slim 3 15ALC6 (82KU024JIN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹43,990</span>",4.2/5,477 Ratings,"AMD Octa Core Ryzen 7 - 5700U, 1.8 Ghz Processor",16 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,AMD Radeon GPU,65W Adapter
MSI Modern 14 C12M-445IN Laptop (14 Inch | Core i3 12th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹30,800</span>",4.3/5,439 Ratings,"Intel Core i3-1215U (12th Gen), 0.8 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel UHD GPU,65W Adapter
ASUS VivoBook 14 X415JA-BV302WS Laptop (14 Inch | Core i3 10th Gen | 8 GB | Windows 11 | 1 TB HDD),"<span class=""price txt-w-b"">₹28,700</span>",3.5/5,"1,164 Ratings","Intel Core i3-1005G1 (10th Gen), 1.2 Ghz Processor",8 GB RAM | 1 TB HDD Storage,14″ (35.56 cm) Display,Intel Integrated GPU,"65W, Upto 6 Hrs Battery Life"
HP 245 G8 (689T3PA) Laptop (14 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹26,990</span>",4.1/5,528 Ratings,"AMD Dual Core Ryzen 3-3250U, 2.6 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,AMD Radeon GPU,"65W, Upto 4 Hrs Battery Life"
HP 247 G8 (6B5R3PA) Laptop (14 Inch | AMD Quad Core Ryzen 3 | 8 GB | DOS | 512 GB SSD),"<span class=""price txt-w-b"">₹27,390</span>",3.9/5,609 Ratings,"AMD Quad Core Ryzen 3 - 5300U, 4.0 Ghz Processor",8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,AMD Radeon GPU,65W Adapter
HP 15s-du2067tu (172R4PA) Laptop (15.6 Inch | Core i3 10th Gen | 4 GB | Windows 10 | 1 TB HDD 256 GB SSD),"<span class=""price txt-w-b"">₹35,890</span>",4.4/5,421 Ratings,"Intel Core i3-1005G1 (10th Gen), 1.2 Ghz Processor",4 GB RAM | 256 GB SSD Storage,15.6″ (39.62 cm) LED Display,Intel UHD GPU,65W Adapter
Dell Inspiron 15 3501 (D560492WIN9BE) Laptop (15.6 Inch | Core i3 11th Gen | 4 GB | Windows 10 | 256 GB SSD),"<span class=""price txt-w-b"">₹39,799</span>",4.2/5,463 Ratings,"Intel Core i3-1115G4 (11th Gen), 1.7 Ghz Processor",4 GB RAM | 256 GB SSD Storage,15.6″ (39.62 cm) LED Display,Intel UHD GPU,Upto 7 Hrs Battery Life
Dell Inspiron 15 3511 (D560720WIN9B) Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 10 | 1 TB HDD 256 GB SSD),"<span class=""price txt-w-b"">₹40,850</span>",4.3/5,454 Ratings,"Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 256 GB SSD Storage,15.6″ (39.62 cm) LED Display,Intel Integrated GPU,"65W, Upto 5 Hrs Battery Life"
ASUS VivoBook Flip 14 TP470EA-EC302WS Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 256 GB SSD),"<span class=""price txt-w-b"">₹47,999</span>",4.4/5,413 Ratings,"Intel Core i3-1115G4 (11th Gen), 3.0 Ghz Processor",8 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) Display With Touchscreen,Intel UHD Graphics GPU,"65W, Upto 6 Hrs Battery Life"
HP Victus 16-d0354TX (552W7PA) Laptop (16.1 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹69,990</span>",4.3/5,435 Ratings,"Intel Core i5-11400H (11th Gen), 4.7 Ghz Processor",8 GB RAM | 512 GB SSD Storage,16.1″ (40.89 cm) Display,"NVIDIA GeForce RTX 3050 GPU, 4 GB VRAM","65W, Upto 8 Hrs Battery Life"
HP 14s-dq3033TU (637S4PA) Laptop (14 Inch | Intel Pentium Quad Core | 8 GB | Windows 11 | 256 GB SSD),"<span class=""price txt-w-b"">₹28,799</span>",3.9/5,665 Ratings,"Intel Pentium Silver N6000, 3.3 Ghz Processor",8 GB RAM | 256 GB SSD Storage,14″ (35.56 cm) Display,Intel UHD GPU,"41W, Upto 12 Hrs Battery Life"
Dell 15 G3-3579 (B560112WIN9) Laptop (15.6 Inch | Core i5 8th Gen | 8 GB | Windows 10 | 1 TB HDD 16 GB SSD),"<span class=""price txt-w-b"">₹62,990</span>",4.3/5,422 Ratings,"Intel Core i5-8300H (8th Gen), 2.3 Ghz Processor",8 GB RAM | 16 GB SSD Storage,15.6″ (39.62 cm) LED Display,"NVIDIA GeForce GTX 1050 GPU, 4 GB VRAM",130W Adapter
Lenovo V15 IGL (82C3A00DIH) Laptop (15.6 Inch | Intel Celeron Dual Core | 4 GB | Windows 11 | 256 GB SSD),"<span class=""price txt-w-b"">₹23,996</span>",3.9/5,654 Ratings,Intel Celeron Dual Core - N4020 Processor,4 GB RAM | 256 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Integrated GPU,"65W, Upto 6 Hrs Battery Life"
HP 15s-eq2042AU (3V6Q0PA) Laptop (15.6 Inch | AMD Quad Core Ryzen 3 | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹34,074</span>",4.3/5,440 Ratings,"AMD Quad Core Ryzen 3 5300U, 2.6 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) LED Display,AMD Radeon GPU,65W Adapter
Honor MagicBook X 14 Laptop (14 Inch | Core i5 10th Gen | 8 GB | Windows 10 | 512 GB SSD),"<span class=""price txt-w-b"">₹46,990</span>",4.3/5,430 Ratings,Intel Core i5-10210U (10th Gen) Processor,8 GB RAM | 512 GB SSD Storage,14″ (35.56 cm) Display,Intel UHD GPU,65W Adapter
Dell Inspiron 15 3520 (D560871WIN9B) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹45,419</span>",4.0/5,555 Ratings,"Intel Core i5-1235U (12th Gen), 3.3 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Integrated GPU,65W Adapter
HP 15s-fq5010TU (67V53PA) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD),"<span class=""price txt-w-b"">₹98,999</span>",4.1/5,510 Ratings,"Intel Core i5-1240P (12th Gen), 4.7 Ghz Processor",8 GB RAM | 512 GB SSD Storage,15.6″ (39.62 cm) Display,Intel Iris Xe GPU,"41W, Upto 10 Hrs Battery Life"
