,Company_name,Rating,Tags,Employees,Company_types,Age
36,IDFC FIRST Bank, 4.0,Banking , 10k-50k Employees , Public , 6 years old 
37,Conneqt Business Solutions, 3.7,BPO , 10k-50k Employees , 22 years old , Pune +222 more
38,LTIMindtree, 3.7,IT Services & Consulting , 50k-1 Lakh Employees , Public , 25 years old 
39,HDFC Life, 4.1,Insurance , 10k-50k Employees , Public , 24 years old 
40,Bajaj Finserv, 4.1,Financial Services , 50k-1 Lakh Employees , Public , 17 years old 
41,Mphasis, 3.5,IT Services & Consulting , 10k-50k Employees , Public , 26 years old 
42,PwC, 3.6,Management Consulting , 10k-50k Employees , Conglomerate , 144 years old 
43,HSBC Group, 4.1,Banking , 10k-50k Employees , Forbes Global 2000 , 159 years old 
44,Startek, 3.3,BPO , 10k-50k Employees , Public , 7 years old 
45,Hinduja Global Solutions, 4.0,IT Services & Consulting , 10k-50k Employees , Public , 24 years old 
46,Samsung, 4.1,Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old 
47,Ericsson, 4.3,Telecom , 10k-50k Employees , Forbes Global 2000 , 148 years old 
48,Maruti Suzuki, 4.3,Automobile , 10k-50k Employees , Public , 43 years old 
49,Shriram Finance, 4.1,NBFC , 50k-1 Lakh Employees , Public , 45 years old 
50,Yes Bank, 3.9,Banking , 10k-50k Employees , Public , 20 years old 
51,Asian Paints, 4.1,Chemicals , 5k-10k Employees , Public , 82 years old 
52,Cipla, 4.1,Pharma , 10k-50k Employees , Public , 89 years old 
53,Dr. Reddy's, 4.2,Pharma , 10k-50k Employees , Public , 40 years old 
54,Sutherland Global Services, 3.7,IT Services & Consulting , 10k-50k Employees , 38 years old , Pittsford +55 more
55,Paytm, 3.5,FinTech , 10k-50k Employees , Public , 14 years old 
56,Bandhan Bank, 3.8,Banking , 50k-1 Lakh Employees , Public , 23 years old 
57,UltraTech Cement, 4.2,Building Material , 10k-50k Employees , Public , 41 years old 
58,EXL Service, 3.8,Analytics & KPO , 10k-50k Employees , 25 years old , New York City +45 more
59,NTT DATA, 4.0,IT Services & Consulting , 10k-50k Employees , 36 years old , Chiyoda City +60 more
60,ICICI Prudential Life Insurance, 4.1,Insurance , 10k-50k Employees , Public , 24 years old 
61,Bajaj Finance, 4.1,NBFC , 10k-50k Employees , 37 years old , Pune +770 more
62,Jana Small Finance Bank, 3.9,Banking , 10k-50k Employees , Public , 18 years old 
63,Lupin, 4.1,Pharma , 1k-5k Employees , Public , 56 years old 
64,Indian Army, 4.7,Defence & Aerospace , 1 Lakh+ Employees , Public , 129 years old 
65,HCL Group, 3.8,IT Services & Consulting , 1 Lakh+ Employees , 48 years old , Chennai +74 more
66,Quess, 4.0,BPO , 1k-5k Employees , Public , 17 years old 
67,Tata Steel, 4.2,Iron & Steel , 1 Lakh+ Employees , Public , 117 years old 
68,L&T Infotech, 3.8,IT Services & Consulting , 10k-50k Employees , Public , 28 years old 
69,Wells Fargo, 4.1,Financial Services , 10k-50k Employees , Public , 172 years old 
70,Zydus Lifesciences, 4.1,Pharma , 10k-50k Employees , Public , 72 years old 
71,Delhivery, 4.0,Logistics , 10k-50k Employees , Fortune India 500 , 13 years old 
72,Amazon Development Centre India, 4.2,Internet , 10k-50k Employees , Hyderabad / Secunderabad +81 more,
73,L&T Construction, 4.1,Engineering & Construction , 5k-10k Employees , Public , 80 years old 
74,JPMorgan Chase & Co., 4.1,Financial Services , 50k-1 Lakh Employees , Public , 56 years old 
75,Sun Pharmaceutical Industries, 4.2,Pharma , 10k-50k Employees , Public , 41 years old 
76,Hindustan Unilever, 4.3,FMCG , 10k-50k Employees , Public , 152 years old 
77,FIS, 3.9,FinTech , 10k-50k Employees , 56 years old , Jacksonville +45 more
78,ITC, 4.0,FMCG , 10k-50k Employees , Public , 114 years old 
79,Udaan, 4.0,1k-5k Employees , Indian Unicorn , 8 years old , Bangalore +339 more
80,Hexaware Technologies, 3.7,IT Services & Consulting , 10k-50k Employees , Fortune India 500 , 34 years old 
81,IIFL Finance, 4.0,NBFC , 10k-50k Employees , Public , 29 years old 
82,JSW Steel, 4.0,Iron & Steel , 10k-50k Employees , Public , 42 years old 
83,Ujjivan Small Finance Bank, 4.1,Banking , 10k-50k Employees , Public , 7 years old 
84,Muthoot Finance, 3.6,NBFC , 10k-50k Employees , Public , 85 years old 
85,Max Life Insurance, 4.2,Insurance , 10k-50k Employees , 24 years old , Gurgaon/Gurugram +395 more
86,Tata Projects, 4.3,Engineering & Construction , 5k-10k Employees , Public , 45 years old 
87,Aurobindo Pharma, 4.0,Pharma , 10k-50k Employees , Public , 38 years old 
88,KPMG India, 3.6,Management Consulting , 10k-50k Employees , 37 years old , Bangalore / Bengaluru +76 more
89,Shapoorji Pallonji Group, 4.2,Engineering & Construction , 5k-10k Employees , Conglomerate , 159 years old 
90,Oracle, 3.8,Software Product , 50k-1 Lakh Employees , Public , 47 years old 
91,Home Credit Finance, 4.1,Financial Services , 10k-50k Employees , 12 years old , Gurugram +116 more
92,eClerx, 3.5,IT Services & Consulting , 10k-50k Employees , Public , 24 years old 
93,Apollo Hospitals, 4.1,Healthcare , 10k-50k Employees , Public , 41 years old 
94,Ashok Leyland, 4.1,Automobile , 5k-10k Employees , Public , 76 years old 
95,Omega Healthcare, 3.8,Healthcare , 10k-50k Employees , 21 years old , Florida +45 more
96,Siemens, 4.2,Industrial Automation , 5k-10k Employees , Public , 177 years old 
97,JLL, 4.2,Real Estate , 10k-50k Employees , Forbes Global 2000 , 25 years old 
98,Megha Engineering & Infrastructures, 4.0,Engineering & Construction , 5k-10k Employees , Conglomerate , 35 years old 
99,Vivo, 4.1,Consumer Electronics & Appliances , 5k-10k Employees , Conglomerate , 15 years old 
100,First Source, 3.8,BPO , 10k-50k Employees , Public , 23 years old 
101,JustDial, 3.6,Internet , 10k-50k Employees , Public , 28 years old 
102,Bajaj Allianz Life Insurance, 4.1,Insurance , 10k-50k Employees , 23 years old , Pune +504 more
103,Hero MotoCorp, 4.2,Automobile , 5k-10k Employees , Public , 40 years old 
104,OPPO, 4.0,Consumer Electronics & Appliances , 10k-50k Employees , Public , 20 years old 
105,Mahindra Finance, 4.3,NBFC , 10k-50k Employees , Public , 33 years old 
106,DMart, 4.0,Retail , 10k-50k Employees , Fortune India 500 , 22 years old 
107,Standard Chartered, 3.9,Banking , 10k-50k Employees , Fortune India 500 , 171 years old 
108,Coforge, 3.5,IT Services & Consulting , 10k-50k Employees , Public , 20 years old 
109,Cyient, 3.8,IT Services & Consulting , 10k-50k Employees , Public , 33 years old 
110,BigBasket, 4.0,Internet , 10k-50k Employees , Indian Unicorn , 13 years old 
111,ICICI Lombard General Insurance Company, 3.8,Insurance , 10k-50k Employees , Public , 23 years old 
112,Indiamart Intermesh, 3.6,Internet , 5k-10k Employees , 28 years old , Noida +141 more
113,CGI Group, 4.1,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 48 years old 
114,Virtusa Consulting Services, 3.8,IT Services & Consulting , 10k-50k Employees , 28 years old , Southborough +38 more
115,Equitas Small Finance Bank, 4.4,Banking , 10k-50k Employees , Fortune India 500 , 17 years old 
116,TVS Motor, 4.1,Automobile , 5k-10k Employees , Public , 45 years old 
117,Manappuram Finance, 4.0,NBFC , 10k-50k Employees , Public , 75 years old 
118,Ekart Logistics, 4.1,Logistics , 1k-5k Employees , 15 years old , San Francisco +580 more
119,GlobalLogic, 3.7,IT Services & Consulting , 10k-50k Employees , 24 years old , San Jose +32 more
120,UST, 3.9,IT Services & Consulting , 10k-50k Employees , 23 years old , Aliso Viejo +36 more
121,SBI Cards & Payment Services, 3.8,Financial Services , 1k-5k Employees , 26 years old , Gurgaon/Gurugram +343 more
122,Hewlett Packard Enterprise, 4.3,IT Services & Consulting , 10k-50k Employees , Forbes Global 2000 , 9 years old 
123,Atos Syntel, 3.6,IT Services & Consulting , 5k-10k Employees , 44 years old , Troy +23 more
124,Bosch Global Software Technologies, 4.1,IT Services & Consulting , 10k-50k Employees , 27 years old , Gerlingen +30 more
125,IQVIA, 4.1,Clinical Research , 10k-50k Employees , Forbes Global 2000 , 42 years old 
126,Nagarro, 4.1,IT Services & Consulting , 10k-50k Employees , 28 years old , Munich +39 more
127,Cholamandalam Investment & Finance, 4.1,NBFC , 10k-50k Employees , Fortune India 500 , 46 years old 
128,Bosch, 4.3,Auto Components , 5k-10k Employees , Public , 138 years old 
129,SMFG India Credit, 4.1,NBFC , 10k-50k Employees , 17 years old , Mumbai +483 more
130,Reliance Communications, 4.0,Telecom , 201-500 Employees , Public , 22 years old 
131,BNY Mellon, 4.0,Investment Banking / Venture Capital / Private Equity , 10k-50k Employees , Forbes Global 2000 , 20 years old 
132,Schneider Electric, 4.2,Industrial Automation , 10k-50k Employees , Forbes Global 2000 , 25 years old 
133,L&T Technology Services, 3.4,IT Services & Consulting , 10k-50k Employees , Public , 12 years old 
134,Hyundai Motor, 4.4,Automobile , 10k-50k Employees , Fortune India 500 , 57 years old 
135,Amdocs, 4.0,Software Product , 10k-50k Employees , Forbes Global 2000 , 42 years old 
136,Oyo Rooms, 3.4,Hospitality , 1k-5k Employees , Indian Unicorn , 11 years old 
137,Swiggy, 3.9,Internet , 5k-10k Employees , Indian Unicorn , 10 years old 
138,CBRE, 4.3,Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old 
139,State Bank of India, 3.9,Banking , 1 Lakh+ Employees , Fortune India 500 , 218 years old 
140,JBM Group, 4.0,Auto Components , 1k-5k Employees , Public , 41 years old 
141,BT Group, 4.1,Telecom , 10k-50k Employees , Forbes Global 2000 , 178 years old 
142,Optum, 4.0,Healthcare , 10k-50k Employees , 47 years old , Prairie +28 more
143,SBI Life Insurance Company, 3.9,Insurance , 10k-50k Employees , 23 years old , Mumbai +524 more
144,Ecom Express, 4.1,Logistics , 10k-50k Employees , 12 years old , Gurgaon +624 more
145,Nagarjuna Construction Company, 4.2,Engineering & Construction , 5k-10k Employees , Public , 26 years old 
146,Dell, 4.2,Consumer Electronics & Appliances , 10k-50k Employees , Forbes Global 2000 , 40 years old 
147,Bajaj Auto, 3.9,Automobile , 5k-10k Employees , Public , 79 years old 
148,KEC International, 4.1,Engineering & Construction , 5k-10k Employees , Public , 79 years old 
149,Future Group, 4.3,Retail , 10k-50k Employees , Conglomerate , 11 years old 
150,Piramal Capital Housing Finance, 4.2,NBFC , 1k-5k Employees , 4 years old , Mumbai +330 more
151,Aditya Birla Fashion and Retail, 4.2,Fashion & Textile , 10k-50k Employees , Fortune India 500 , 9 years old 
152,Muthoot Fincorp, 4.1,NBFC , 10k-50k Employees , Conglomerate , 137 years old 
153,Royal Enfield, 4.3,Automobile , 5k-10k Employees , 123 years old , Gurgaon/Gurugram +305 more
154,L&T Finance, 4.0,NBFC , 10k-50k Employees , Public , 30 years old 
155,Viatris, 4.3,Pharma , 10k-50k Employees , Forbes Global 2000 , 4 years old 
156,Tata Communications, 4.2,Telecom , 5k-10k Employees , Public , 38 years old 
157,Samvardhana Motherson Group, 3.8,Auto Components , 1k-5k Employees , Public , 38 years old 
158,Intas Pharmaceuticals, 4.2,Pharma , 10k-50k Employees , Fortune India 500 , 47 years old 
159,LG Electronics, 4.1,Consumer Electronics & Appliances , 1k-5k Employees , Public , 66 years old 
160,Varun Beverages, 4.1,Beverage , 5k-10k Employees , Public , 29 years old 
161,John Deere, 4.3,Industrial Machinery , 5k-10k Employees , Fortune India 500 , 23 years old 
162,Kogta Financial India Limited, 4.8,NBFC , 1k-5k Employees , Public , 28 years old 
163,Persistent Systems, 3.8,IT Services & Consulting , 10k-50k Employees , Public , 34 years old 
164,Godrej & Boyce Manufacturing, 3.9,Engineering & Construction , 10k-50k Employees , Fortune India 500 , 127 years old 
165,Randstad, 3.9,Recruitment , 5k-10k Employees , Conglomerate , 32 years old 
166,Thermax Limited, 4.2,Industrial Machinery , 1k-5k Employees , Public , 58 years old 
167,Hetero Drugs, 3.9,Pharma , 1k-5k Employees , 31 years old , Hyderabad/Secunderabad +46 more
168,Deutsche Bank, 4.1,Banking , 10k-50k Employees , Fortune India 500 , 154 years old 
169,Macleods Pharmaceuticals, 3.8,Pharma , 10k-50k Employees , Public , 38 years old 
170,Havells, 4.1,Electrical Equipment , 5k-10k Employees , Public , 41 years old 
171,CARS24, 3.7,Internet , 5k-10k Employees , Indian Unicorn , 9 years old 
172,Team Lease, 4.0,Recruitment , 1k-5k Employees , Public , 8 years old 
173,Subros, 4.0,Auto Components , 1k-5k Employees , Public , 39 years old 
174,Sodexo, 4.1,Facility Management Services , 10k-50k Employees , Forbes Global 2000 , 16 years old 
175,Abbott, 4.1,Pharma , 10k-50k Employees , Public , 136 years old 
176,VE Commercial Vehicles, 4.1,Automobile , 1k-5k Employees , 16 years old , Gurgaon/Gurugram +127 more
177,Indian Oil Corporation, 4.5,Oil & Gas , 10k-50k Employees , Fortune India 500 , 65 years old 
178,Whitehat jr, 3.5,EdTech , 5k-10k Employees , Startup , 6 years old 
179,Ford Motor, 4.5,Automobile , 5k-10k Employees , Public , 121 years old 
